aX,aY,aZ,gX,gY,gZ
1.83,-0.179,9.831,0.01,0,-0.004
1.807,-0.19,9.808,0.012,-0.004,-0.005
1.778,-0.211,9.812,0.019,-0.013,-0.009
1.824,-0.231,9.812,0.004,-0.001,-0.01
1.803,-0.204,9.822,-0.002,-0.001,-0.009
1.813,-0.176,9.797,-0.003,0.001,-0.006
1.837,-0.187,9.784,0.009,-0.002,-0.004
1.824,-0.235,9.744,0.012,0.002,-0.003
1.849,-0.233,9.801,0.012,0.005,-0.003
1.811,-0.205,9.794,0.004,0.013,-0.003
1.815,-0.188,9.795,0.02,-0.004,-0.006
1.823,-0.186,9.802,0.02,-0.004,-0.006
1.803,-0.197,9.786,0.018,-0.003,-0.012
1.835,-0.217,9.804,0.018,0.001,-0.017
1.832,-0.236,9.777,0.012,0.008,-0.016
1.856,-0.24,9.797,0.004,0.018,-0.006
1.86,-0.232,9.857,0.002,0.015,-0.005
1.877,-0.221,9.83,0.007,0.009,0.002
1.879,-0.198,9.838,0.008,0.011,0.006
1.924,-0.185,9.882,0.003,0.014,0.009
1.879,-0.177,9.861,0.005,0.012,-0.001
1.874,-0.199,9.887,-0.003,0.015,-0.004
1.902,-0.171,9.884,-0.005,0.014,-0.004
1.896,-0.154,9.901,0.001,0.007,-0.005
1.874,-0.149,9.909,0.004,0.003,-0.002
1.859,-0.166,9.852,-0.002,0.003,0.003
1.824,-0.161,9.809,-0.002,0.009,0.005
1.861,-0.161,9.8,-0.016,0.018,0.015
1.756,-0.128,9.588,-0.037,0.027,0.025
1.628,-0.155,9.025,-0.065,0.061,0.06
1.389,-0.267,8.099,-0.161,0.156,0.109
1.396,-0.626,7.668,-0.407,0.339,0.171
1.152,-1.255,7.45,-0.675,0.534,0.249
1.35,-0.204,7.58,-0.668,0.752,0.274
2.297,0.403,9.192,-0.684,0.733,0.379
2.615,-0.271,11.374,-0.796,0.591,0.471
2.166,-1.747,13.843,-1.176,0.455,0.46
2.243,-1.744,14.129,-1.54,0.354,0.379
2.281,-0.569,12.585,-1.528,0.359,0.343
2.174,0.357,10.862,-1.357,0.371,0.352
1.955,0.77,9.909,-0.972,0.253,0.371
1.384,-0.061,9.621,-0.389,0.085,0.369
1.307,-0.534,9.31,0.024,-0.031,0.226
1.262,-0.871,8.754,0.094,-0.038,0.043
1.042,-1.35,9.393,-0.274,0.027,-0.22
-0.385,-2.748,10.607,-1.104,0.019,-0.396
