aX,aY,aZ,gX,gY,gZ
2.303,-1.236,9.841,-0.032,0.013,-0.004
2.281,-1.213,9.883,-0.021,-0.003,-0.001
2.241,-1.211,9.848,-0.02,-0.011,-0.002
2.25,-1.29,9.869,-0.025,-0.014,-0.006
2.259,-1.353,9.851,-0.031,-0.026,-0.015
2.256,-1.361,9.775,-0.036,-0.029,-0.023
2.256,-1.356,9.767,-0.042,-0.028,-0.021
2.238,-1.4,9.748,-0.047,-0.031,-0.017
2.224,-1.465,9.692,-0.045,-0.044,-0.019
2.239,-1.501,9.715,-0.067,-0.04,-0.012
2.22,-1.497,9.703,-0.083,-0.04,-0.002
2.229,-1.474,9.705,-0.082,-0.048,0
2.215,-1.422,9.73,-0.078,-0.041,0.008
2.264,-1.434,9.731,-0.055,-0.044,0.005
2.289,-1.451,9.739,-0.053,-0.036,0.001
2.323,-1.433,9.677,-0.055,-0.021,-0.002
2.27,-1.394,9.564,-0.042,-0.025,-0.005
2.267,-1.379,9.596,-0.049,-0.016,-0.005
2.287,-1.415,9.621,-0.047,-0.018,-0.009
2.291,-1.409,9.656,-0.045,-0.026,-0.016
2.262,-1.375,9.703,-0.05,-0.024,-0.021
2.233,-1.321,9.651,-0.069,-0.011,-0.017
2.226,-1.228,9.611,-0.072,0,-0.015
2.254,-1.251,9.606,-0.062,0.004,-0.015
2.242,-1.326,9.616,-0.061,0.008,-0.016
2.228,-1.36,9.65,-0.057,0,-0.018
2.251,-1.357,9.666,-0.049,-0.01,-0.014
2.243,-1.364,9.642,-0.045,-0.009,-0.003
2.229,-1.304,9.591,-0.035,-0.01,0.008
2.278,-1.3,9.589,-0.024,-0.016,0.013
2.238,-1.344,9.55,-0.021,-0.017,0.011
2.264,-1.438,9.581,-0.033,-0.01,0.009
2.269,-1.468,9.617,-0.036,-0.014,0.002
2.288,-1.497,9.593,-0.039,-0.013,0.002
2.283,-1.488,9.593,-0.038,-0.013,0.003
2.295,-1.503,9.572,-0.046,-0.001,0.005
2.317,-1.527,9.538,-0.035,0.001,0.007
2.279,-1.559,9.504,-0.008,-0.007,-0.001
2.365,-1.602,9.505,-0.003,-0.003,0
2.335,-1.586,9.559,-0.015,0.008,0.002
2.363,-1.595,9.593,-0.015,0,0.003
2.372,-1.589,9.632,-0.027,-0.003,0.007
2.358,-1.585,9.603,-0.035,-0.004,0.011
2.329,-1.539,9.604,-0.036,0.002,0.005
2.334,-1.497,9.573,-0.02,-0.005,0.001
2.334,-1.491,9.583,-0.017,0,0
2.351,-1.5,9.595,-0.011,0.006,0
2.354,-1.494,9.648,0.005,-0.002,0.001
2.395,-1.513,9.633,0.004,0.001,0
2.38,-1.503,9.671,0.001,-0.009,-0.004
2.371,-1.464,9.606,-0.004,-0.02,-0.001
2.344,-1.461,9.634,-0.014,-0.012,-0.001
2.367,-1.471,9.617,-0.01,-0.016,-0.003
2.39,-1.479,9.588,-0.006,-0.014,-0.003
2.406,-1.443,9.616,-0.002,-0.005,0.001
2.374,-1.47,9.567,0.006,-0.011,0.003
2.393,-1.475,9.567,-0.001,-0.002,0.001
2.361,-1.485,9.549,-0.007,0.006,-0.003
2.352,-1.47,9.593,-0.009,0.004,-0.004
2.341,-1.46,9.565,-0.01,-0.002,-0.003
2.351,-1.452,9.598,-0.007,-0.005,0.002
2.351,-1.438,9.617,-0.009,0.007,0.006
2.369,-1.445,9.607,0.001,0.007,0.009
2.366,-1.448,9.612,0.004,0.005,0.015
2.364,-1.493,9.625,0.008,-0.004,0.013
2.343,-1.502,9.619,-0.004,0,0.014
2.358,-1.51,9.647,-0.004,-0.004,0.016
2.375,-1.511,9.667,-0.01,0.001,0.018
2.379,-1.496,9.643,-0.005,-0.003,0.017
2.371,-1.456,9.644,0,-0.002,0.018
2.363,-1.453,9.592,0.004,0.003,0.017
2.35,-1.476,9.618,0.013,-0.006,0.013
2.342,-1.51,9.644,0.016,-0.008,0.006
2.346,-1.531,9.656,0.007,-0.005,0.006
2.318,-1.506,9.649,0.005,-0.007,0.002
2.349,-1.489,9.667,-0.015,0.006,0.01
2.354,-1.468,9.64,-0.013,0.004,0.012
2.359,-1.482,9.625,-0.005,0.004,0.015
2.356,-1.509,9.614,0.012,-0.005,0.014
2.365,-1.527,9.613,0.016,-0.004,0.011
2.343,-1.52,9.629,0.004,0.004,0.016
2.331,-1.536,9.608,0.004,-0.002,0.015
2.336,-1.522,9.62,-0.004,0.001,0.012
2.363,-1.536,9.6,-0.022,0.015,0.018
2.358,-1.549,9.64,-0.009,0.002,0.017
2.334,-1.524,9.641,-0.004,0.003,0.01
2.319,-1.535,9.562,-0.002,0.007,0.014
2.313,-1.544,9.544,0.002,0.003,0.013
2.35,-1.53,9.57,0.001,0.002,0.008
2.336,-1.519,9.567,0.003,0.001,0.006
2.312,-1.502,9.528,-0.002,0.016,0.008
2.326,-1.53,9.616,0.001,0.01,-0.001
2.326,-1.537,9.64,-0.006,0.011,-0.003
2.347,-1.548,9.628,-0.004,0.006,-0.004
2.312,-1.534,9.6,0.001,0.002,-0.006
2.343,-1.513,9.587,-0.01,0.01,-0.006
2.327,-1.521,9.63,-0.015,0.01,-0.008
2.292,-1.489,9.6,0,-0.005,-0.01
2.327,-1.503,9.567,0.011,-0.005,-0.008
2.303,-1.497,9.594,0.014,-0.001,-0.012
2.334,-1.504,9.641,0.008,0.005,-0.013
2.308,-1.522,9.674,0.015,-0.01,-0.014
2.336,-1.491,9.677,0,0.005,-0.01
2.34,-1.47,9.686,-0.002,0.009,-0.007

2.488,-1.455,9.547,-0.004,-0.005,-0.01
2.487,-1.432,9.535,0.001,-0.008,-0.007
2.487,-1.448,9.512,-0.003,0.004,-0.005
2.488,-1.464,9.562,0.005,0.002,-0.007
2.504,-1.482,9.559,0.01,0.002,-0.004
2.48,-1.452,9.574,0.007,0.003,-0.004
2.47,-1.448,9.582,0.003,0.003,0
2.481,-1.46,9.575,-0.015,0.017,0.005
2.487,-1.49,9.54,-0.019,0.02,0.007
2.474,-1.495,9.541,-0.006,0.015,0.005
2.477,-1.485,9.516,-0.002,0.017,0.008
2.481,-1.464,9.646,0.005,0.016,0.01
2.512,-1.489,9.634,0.005,0.016,0.015
2.51,-1.508,9.645,0.006,0.007,0.014
2.486,-1.513,9.628,0,0.007,0.011
2.485,-1.475,9.621,-0.001,0.007,0.008
2.51,-1.495,9.621,0.004,0.007,0.005
2.503,-1.504,9.625,0.004,0.01,0.004
2.513,-1.523,9.601,0.003,0.01,0.009
2.489,-1.551,9.614,0.008,0.001,0.008
2.482,-1.529,9.589,0.008,-0.006,0.008
2.497,-1.534,9.636,0.003,-0.005,0.007
2.487,-1.508,9.607,-0.007,0,0.01
2.489,-1.512,9.625,-0.003,-0.001,0.009
2.471,-1.494,9.56,-0.003,0.005,0.01
2.458,-1.512,9.621,0,0.008,0.009
2.446,-1.504,9.612,0.011,-0.003,0.009
2.475,-1.502,9.662,0.006,-0.002,0.011
2.458,-1.481,9.61,-0.003,-0.002,0.013
